,location,price,tier,size,link,condition
116,Maior,155000,T2,66.0,https://www.imovirtual.com/anuncio/t2-santa-maria-maior-ID14qLK.html#3600998ce9,Usado
117,Lumiar,389000,T2,95.3,https://www.imovirtual.com/anuncio/t2-novo-condominio-do-lago-alta-de-lisboa-ID14rdb.html#3600998ce9,Novo
118,Arroios,295000,T1,52.6,https://www.imovirtual.com/anuncio/novo-apartamento-t1-2-andar-monte-agudo-apartments-ID14p65.html#3600998ce9,Novo
119,França,195000,T2,55.0,https://www.imovirtual.com/anuncio/apartamento-t2-no-beato-ID14pXa.html#3600998ce9,Renovado
120,Maior,1025000,T3,140.0,https://www.imovirtual.com/anuncio/t3-com-rendimento-garantido-por-2-anos-na-baixa-de-lisboa-ID14jRB.html#3600998ce9,Renovado
121,Carnide,525000,T2,112.45,https://www.imovirtual.com/anuncio/apartamento-t2-telheiras-quinta-dos-inglesinhos-ID14mgP.html#3600998ce9,Usado
122,António,2500000,T8,258.0,https://www.imovirtual.com/anuncio/apartamento-inserido-em-predio-de-charme-em-plena-avenida-ID14qF9.html#3600998ce9,Usado
123,Novas,1990000,T5,284.0,https://www.imovirtual.com/anuncio/apartamento-t5-avenidas-novas-ID14qF8.html#3600998ce9,Usado
124,Nações,1950000,T6,275.0,https://www.imovirtual.com/anuncio/excelente-apartamento-duplex-com-terraco-e-vista-rio-ID14qEF.html#3600998ce9,Usado
125,Olivais,279000,T1,68.0,https://www.imovirtual.com/anuncio/apartamento-t1-em-novo-empreendimento-junto-ao-parque-das-ID14qC3.html#3600998ce9,Em construção
126,Maior,980000,T2,104.0,https://www.imovirtual.com/anuncio/apartamento-no-chiado-com-vista-rio-ID14qC2.html#3600998ce9,Usado
127,Novas,440000,T1,52.0,https://www.imovirtual.com/anuncio/avenida-da-republica-apartamento-t1-com-imensa-luz-e-1-l-ID14qBY.html#3600998ce9,Novo
128,Belém,339000,T2,83.0,https://www.imovirtual.com/anuncio/excelente-t2-em-penthouse-belem-restelo-ID14qPG.html#3600998ce9,Renovado
129,Belém,329000,T2,89.0,https://www.imovirtual.com/anuncio/fantastica-penthouse-t2-belem-restelo-ID14qO1.html#3600998ce9,Renovado
130,Novas,299500,T1,49.0,https://www.imovirtual.com/anuncio/apartamento-t1-bairro-azul-lisboa-junto-ao-el-corte-in-ID13r31.html#3600998ce9,Usado
131,Nações,1350000,T4,264.6,https://www.imovirtual.com/anuncio/duplex-t4-224m2-vista-espectacular-piscina-parque-das-nacoes-ID14r8E.html#3600998ce9,Usado
132,Nações,365000,T2,77.0,https://www.imovirtual.com/anuncio/apartamento-t2-parque-do-rio-expo-norte-ID13vdD.html#3600998ce9,
133,Estrela,660000,T1,70.0,https://www.imovirtual.com/anuncio/apartamento-t1-na-avenida-24-de-julho-the-promenade-ID14qIN.html#3600998ce9,
